web_path	original_size	original_dims	new_size	new_dims	display_width
/images/optimized/News_Images/Sunil_Tripsacum.jpg	59145	574x400	59145	574x400	500
/images/optimized/News_Images/TomPoster.jpg	242170	1200x900	171279	1000x750	500
/images/optimized/News_Images/Undergrads18.jpg	190213	1200x900	139170	1000x750	500
/images/optimized/News_Images/W4F17.jpg	123174	1200x900	92171	1000x750	500
/images/optimized/News_Images/Yang_Goodbye.jpg	183760	1200x900	139093	1000x750	500
/images/optimized/News_Images/ZhikaiChina.jpg	124086	1024x768	123998	1000x750	500
/images/optimized/News_Images/ZhikaiPassed.jpeg	254611	2048x1103	172668	1600x862	800
/images/optimized/News_Images/aimeucare.png	3543385	2048x1365	1650570	1600x1066	800
/images/optimized/News_Images/poster.pdf	8111636		8111636		
/images/optimized/People_Images/Abaigeal.jpg	33024	150x178	33024	150x178	
/images/optimized/People_Images/Aime.jpg	28954	300x300	28954	300x300	
/images/optimized/People_Images/AldiA.jpg	8532	200x223	8532	200x223	
/images/optimized/People_Images/AleahM.jpg	26788	200x227	26788	200x227	
/images/optimized/People_Images/AlexE.jpg	66408	250x310	66408	250x310	
/images/optimized/People_Images/AlexMo.jpg	25873	200x234	25873	200x234	
/images/optimized/People_Images/AlexP.jpg	72757	250x333	72757	250x333	
/images/optimized/People_Images/AlexaN.jpg	5570687	2382x3047	116429	625x800	
/images/optimized/People_Images/AlexisF.jpg	20068	200x222	20068	200x222	
/images/optimized/People_Images/AliceG.jpg	26751	200x265	26751	200x265	
/images/optimized/People_Images/Alliance.jpg	21143	160x164	21143	160x164	
/images/optimized/People_Images/Ally.jpg	30080	250x266	30080	250x266	
/images/optimized/People_Images/Amany.jfif	54312	512x512	54312	512x512	
/images/optimized/People_Images/Annaliese_Kohrell.jpeg	3317538	1716x2573	80599	534x800	
/images/optimized/People_Images/Ashley18.jpg	35496	250x339	35496	250x339	
/images/optimized/People_Images/BSigmon.jpg	17475	250x315	17475	250x315	
/images/optimized/People_Images/Bhushit.jpg	18854	241x319	18854	241x319	
/images/optimized/People_Images/BrianL.jpg	39108	429x331	39108	429x331	
/images/optimized/People_Images/Brooke.jpg	90760	250x305	90760	250x305	
/images/optimized/People_Images/BryceA.jpg	23799	350x350	23799	350x350	
